License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
84793,Bainbridge Bethesda,4918 St Elmo Ave,Bethesda,20814,171050,-77.09753744,38.9883591,2/17/22,,3,1,200,46,0.34,0.86,31,0,0,compliant,"(38.9884, -77.0975)"
17464,"Garland Avenue, 8307",8307 Garland Ave,Takoma Park,20912,170997,-77.00003868,38.99355619,2/18/22,,3,1,6,7,1.14,1.73,2,0,0,at-risk,"(38.9936, -77.0)"
17164,Preston Place Townhouses,3710 Manor Rd,Chevy Chase,20815,169486,-77.07136103,38.99761454,10/21/21,,3,1,67,17,0,0,17,0,0,compliant,"(38.9976, -77.0714)"
17988,Inverness Townhomes,7801 Coddle Harbor Ln,Potomac,20854,169457,-77.15922707,39.04285661,10/4/21,,1,0,1,0,0,0,0,0,0,TBD,"(39.0429, -77.1592)"
17532,Tilbury Garden Apartments,7806 Tilbury St,Bethesda,20814,171971,-77.09405507,38.988815,5/3/22,,1,1,30,30,0.83,1.06,18,0,0,compliant,"(38.9888, -77.0941)"
45214,Whitney At Bethesda Theatre,7707 Wisconsin Ave,Bethesda,20814,171048,-77.09469854,38.9869032,2/16/22,,3,1,253,57,0.07,0.14,53,0,0,compliant,"(38.9869, -77.0947)"
17361,Amherst Gardens,11430 Amherst Ave,Silver Spring,20902,161023,-77.04807276,39.04193808,10/28/20,,1,0,22,1,1,1,0,0,0,compliant,"(39.0419, -77.0481)"
17297,Colesville Towers,8811 Colesville Rd,Silver Spring,20910,161019,-77.02509898,38.99965719,10/15/20,,2,1,272,103,0.92,1.14,48,0.09,0,compliant,"(38.9997, -77.0251)"
128683,Tamarron,18101 MARKSMAN CIR,OLNEY,20832,166754,0,0,11/4/21,,,0,132,35,0.71,1.12,21,0,0,compliant,"(0.0, 0.0)"
17178,Montgomery Arms,8700 Colesville Rd,Silver Spring,20910,165003,-77.02769877,38.99832769,9/22/21,,3,1,129,30,0.03,0.13,28,0,0,compliant,"(38.9983, -77.0277)"
17436,"Domer Avenue, 311",311 Domer Ave,Takoma Park,20912,157651,-77.0023715,38.99645288,10/2/19,,1,0,8,8,0.62,0.52,5,0,0,compliant,"(38.9965, -77.0024)"
17720,"Bradford Road, 8806",8806 Bradford Rd,Silver Spring,20901,173301,-77.00645691,39.00086783,7/22/22,,3,1,6,6,0.33,0.5,4,0,0,compliant,"(39.0009, -77.0065)"
95494,Dale Apartments,524 Thayer Ave,Silver Spring,20910,157626,-77.01416157,38.99334393,10/2/19,,1,0,26,29,1.96,1.5,5,0.06,0,compliant,"(38.9933, -77.0142)"
17531,Londonderry Towers,17060 King James Way,Gaithersburg,20877,146558,-77.20721441,39.13652903,6/6/18,,3,0,150,37,0.16,0.51,31,0.1,0.02,compliant,"(39.1365, -77.2072)"
17484,"Longbranch Parkway, 7906",7906 Long Branch Pkwy,Takoma Park,20912,157695,-76.99601748,38.9877078,8/30/19,,2,0,3,3,0,0,3,0,0,compliant,"(38.9877, -76.996)"
88246,Yorkshire II,11401 July Dr,Silver Spring,20904,171039,-76.98171871,39.04160138,2/17/22,,3,1,97,19,1.57,1.08,10,0.05,0,compliant,"(39.0416, -76.9817)"
17384,Battery Gardens,4918 Battery Ln,Bethesda,20814,171970,-77.09956519,38.99181699,5/27/22,,2,0,62,64,2,1.55,14,0,0,at-risk,"(38.9918, -77.0996)"
17307,"Garland Avenue, 8215",8215 Garland Ave,Takoma Park,20912,159437,0,0,12/30/19,,1,0,4,5,0.8,1.65,2,0,0,at-risk,"(0.0, 0.0)"
18223,"Garland Avenue, 8305",8305 Garland Ave,Takoma Park,20912,159475,-76.99999643,38.99338595,2/7/20,,2,0,6,5,0,0,5,0,0,compliant,"(38.9934, -77.0)"
113035,Oak Mill Apartments,20010 Frederick Rd,Germantown,20876,157508,0,0,6/29/19,,3,0,400,373,1.13,1.35,121,0.02,0.03,compliant,"(0.0, 0.0)"
61346,Upstairs At Bethesda Row,7131 Arlington Rd,Bethesda,20814,171021,-77.09840741,38.98125469,4/18/22,,3,1,180,45,0.31,0.98,28,0,0,compliant,"(38.9813, -77.0984)"
18208,"Greenwood Avenue, 8516",8516 Greenwood Ave,Takoma Park,20912,160576,-77.00219205,38.99627717,1/27/21,,3,1,3,0,0,0,0,0,0,TBD,"(38.9963, -77.0022)"
17288,"Avondale Street, 4523",4523 Avondale St,Bethesda,20814,159423,-77.09327428,38.98631979,1/14/20,,2,0,4,4,0.5,4,0,0,0,at-risk,"(38.9863, -77.0933)"
17347,Glenmont Crossing,2100 Georgian Woods Pl,Silver Spring,20902,164403,-77.04482214,39.05477197,3/12/21,,2,1,97,49,0.59,1.03,24,0,0.04,compliant,"(39.0548, -77.0448)"
17448,Ashford At Woodlake,14175 Castle Blvd,Silver Spring,20904,106412,0,0,6/12/12,,1,0,534,1,0,0,1,0,0,compliant,"(0.0, 0.0)"
16472,"Garland Avenue, 7803",7803 Garland Ave,Takoma Park,20912,158828,-76.99724174,38.98771607,11/15/19,,2,0,1,0,0,0,0,0,0,TBD,"(38.9877, -76.9972)"
86953,Pallas,11550 Old Georgetown Rd,Rockville,20852,160559,-77.11883193,39.04895877,10/22/20,,3,1,319,0,0,0,0,0,0,compliant,"(39.049, -77.1188)"
17485,"Flower Avenue, 8001",8001 Flower Ave,Takoma Park,20912,170971,-77.00075991,38.9889736,2/14/22,,3,1,1,2,1,3,0,0,0,at-risk,"(38.989, -77.0008)"
17296,Cole Spring Plaza,1001 Spring St,Silver Spring,20910,171022,-77.0265768,38.99953332,4/6/22,,3,1,278,62,0.33,0.46,48,0,0,compliant,"(38.9995, -77.0266)"
17285,"Greenwood Ave, 8515 & Browning Ave, 400",8515 Greenwood Ave,Takoma Park,20912,171918,-77.00145316,38.99617836,5/24/22,,2,1,24,24,2.45,1.31,5,0.04,0,at-risk,"(38.9962, -77.0015)"
17607,"Quebec Terrace, 1017",1017 Quebec Ter,Silver Spring,20903,169451,-76.98820513,39.00011234,10/12/21,,1,0,4,4,1.75,1.6,1,0,0,at-risk,"(39.0001, -76.9882)"
